Date,Main Site Corrected Gas Meter
2017-09-29 00:00:00,606900
2017-09-30 00:00:00,583400
2017-10-01 00:00:00,575400
2017-10-02 00:00:00,644700
2017-10-03 00:00:00,659600
2017-10-04 00:00:00,660200
2017-10-05 00:00:00,661000
2017-10-06 00:00:00,652900
2017-10-07 00:00:00,581700
2017-10-08 00:00:00,581500
2017-10-09 00:00:00,633000
2017-10-10 00:00:00,634800
2017-10-11 00:00:00,594200
2017-10-12 00:00:00,656300
2017-10-13 00:00:00,607300
2017-10-14 00:00:00,589100
2017-10-15 00:00:00,583700
2017-10-16 00:00:00,641100
2017-10-17 00:00:00,666800
2017-10-18 00:00:00,645200
2017-10-19 00:00:00,714100
2017-10-20 00:00:00,692300
2017-10-21 00:00:00,647100
2017-10-22 00:00:00,640200
2017-10-23 00:00:00,730300
2017-10-24 00:00:00,732400
2017-10-25 00:00:00,695100
2017-10-26 00:00:00,721700
2017-10-27 00:00:00,710200
2017-10-28 00:00:00,639800
2017-10-29 00:00:00,677900
2017-10-30 00:00:00,740300
2017-10-31 00:00:00,669200
2017-11-01 00:00:00,702300
2017-11-02 00:00:00,737100
2017-11-03 00:00:00,729300
2017-11-04 00:00:00,679400
2017-11-05 00:00:00,698300
2017-11-06 00:00:00,771400
2017-11-07 00:00:00,741100
2017-11-08 00:00:00,779300
2017-11-09 00:00:00,735800
2017-11-10 00:00:00,741000
2017-11-11 00:00:00,691000
2017-11-12 00:00:00,710500
2017-11-13 00:00:00,625300
2017-11-14 00:00:00,724000
2017-11-15 00:00:00,776900
2017-11-16 00:00:00,758900
2017-11-17 00:00:00,740600
2017-11-18 00:00:00,686900
2017-11-19 00:00:00,728100
2017-11-20 00:00:00,641200
2017-11-21 00:00:00,579700
2017-11-22 00:00:00,686900
2017-11-23 00:00:00,709000
2017-11-24 00:00:00,705000
2017-11-25 00:00:00,658400
2017-11-26 00:00:00,645700
2017-11-27 00:00:00,698900
2017-11-28 00:00:00,721400
2017-11-29 00:00:00,730600
2017-11-30 00:00:00,816500
2017-12-01 00:00:00,778600
2017-12-02 00:00:00,649100
2017-12-03 00:00:00,645800
2017-12-04 00:00:00,697400
2017-12-05 00:00:00,693800
2017-12-06 00:00:00,685200
2017-12-07 00:00:00,714700
2017-12-08 00:00:00,747400
2017-12-09 00:00:00,696200
2017-12-10 00:00:00,714000
2017-12-11 00:00:00,793800
2017-12-12 00:00:00,741700
2017-12-13 00:00:00,743800
2017-12-14 00:00:00,754800
2017-12-15 00:00:00,761800
2017-12-16 00:00:00,706300
2017-12-17 00:00:00,638100
2017-12-18 00:00:00,758000
2017-12-19 00:00:00,684300
2017-12-20 00:00:00,737100
2017-12-21 00:00:00,745000
2017-12-22 00:00:00,706200
2017-12-23 00:00:00,606400
2017-12-24 00:00:00,599000
2017-12-25 00:00:00,601900
2017-12-26 00:00:00,653400
2017-12-27 00:00:00,692400
2017-12-28 00:00:00,737800
2017-12-29 00:00:00,745100
2017-12-30 00:00:00,665000
2017-12-31 00:00:00,634800
2018-01-01 00:00:00,672800
2018-01-02 00:00:00,745500
2018-01-03 00:00:00,772000
2018-01-04 00:00:00,783200
2018-01-05 00:00:00,715600
2018-01-06 00:00:00,637800
2018-01-07 00:00:00,664000
2018-01-08 00:00:00,783700
2018-01-09 00:00:00,747900
2018-01-10 00:00:00,718600
2018-01-11 00:00:00,718800
2018-01-12 00:00:00,721100
2018-01-13 00:00:00,645400
2018-01-14 00:00:00,660900
2018-01-15 00:00:00,716100
2018-01-16 00:00:00,729600
2018-01-17 00:00:00,787600
2018-01-18 00:00:00,763700
2018-01-19 00:00:00,770700
2018-01-20 00:00:00,697100
2018-01-21 00:00:00,725900
2018-01-22 00:00:00,736900
2018-01-23 00:00:00,713000
2018-01-24 00:00:00,698700
2018-01-25 00:00:00,714300
