Date,CHP No1 kWHr Meter,CHP No2 kWHr Meter
2017-10-29 00:00:00,25012.82575,27570
2017-10-30 00:00:00,10000,26550
2017-10-31 00:00:00,27410,20060
2017-11-01 00:00:00,27370,27510
2017-11-02 00:00:00,27500,27000
2017-11-03 00:00:00,27480,27610
2017-11-04 00:00:00,26820,27130
2017-11-05 00:00:00,26850,27130
2017-11-06 00:00:00,26650,26450
2017-11-07 00:00:00,27440,27620
2017-11-08 00:00:00,27410,27610
2017-11-09 00:00:00,27350,27530
2017-11-10 00:00:00,27280,27470
2017-11-11 00:00:00,26750,27050
2017-11-12 00:00:00,26860,27180
2017-11-13 00:00:00,21610,21790
2017-11-14 00:00:00,27380,26780
2017-11-15 00:00:00,27430,27600
2017-11-16 00:00:00,27330,27510
2017-11-17 00:00:00,26620,25260
2017-11-18 00:00:00,26040,27030
2017-11-19 00:00:00,27130,27410
2017-11-20 00:00:00,25010,14100
2017-11-21 00:00:00,26700,11550
2017-11-22 00:00:00,27330,27460
2017-11-23 00:00:00,27310,27500
2017-11-24 00:00:00,27400,27570
2017-11-25 00:00:00,26740,27050
2017-11-26 00:00:00,26760,27010
2017-11-27 00:00:00,27340,27540
2017-11-28 00:00:00,27390,27570
2017-11-29 00:00:00,27430,27190
2017-11-30 00:00:00,27420,26910
2017-12-01 00:00:00,27530,27730
2017-12-02 00:00:00,26950,27220
2017-12-03 00:00:00,26500,27350
2017-12-04 00:00:00,27390,27570
2017-12-05 00:00:00,26120,27520
2017-12-06 00:00:00,27340,27190
2017-12-07 00:00:00,27330,27430
2017-12-08 00:00:00,27380,27580
2017-12-09 00:00:00,27240,24600
2017-12-10 00:00:00,27610,27820
2017-12-11 00:00:00,27510,27780
2017-12-12 00:00:00,26400,26590
2017-12-13 00:00:00,27370,27580
2017-12-14 00:00:00,27510,27730
2017-12-15 00:00:00,26720,26200
2017-12-16 00:00:00,27490,27730
2017-12-17 00:00:00,18880,27420
2017-12-18 00:00:00,26790,27660
2017-12-19 00:00:00,20150,27550
2017-12-20 00:00:00,26950,27530
2017-12-21 00:00:00,27450,27580
2017-12-22 00:00:00,26830,27030
2017-12-23 00:00:00,21740,22060
2017-12-24 00:00:00,21650,22010
2017-12-25 00:00:00,22020,22330
2017-12-26 00:00:00,23440,23830
2017-12-27 00:00:00,24580,24400
2017-12-28 00:00:00,25570,25940
2017-12-29 00:00:00,25760,23640
2017-12-30 00:00:00,22280,22630
2017-12-31 00:00:00,21740,22110
2018-01-01 00:00:00,23540,23940
2018-01-02 00:00:00,26360,25820
2018-01-03 00:00:00,25540,26900
2018-01-04 00:00:00,27550,27750
2018-01-05 00:00:00,24820,22760
2018-01-06 00:00:00,25690,26050
2018-01-07 00:00:00,26050,26410
2018-01-08 00:00:00,27190,27400
2018-01-09 00:00:00,27270,27410
2018-01-10 00:00:00,27140,26930
2018-01-11 00:00:00,26260,26660
2018-01-12 00:00:00,27220,27410
2018-01-13 00:00:00,26220,25540
2018-01-14 00:00:00,25900,26210
2018-01-15 00:00:00,27080,27240
2018-01-16 00:00:00,22460,25940
2018-01-17 00:00:00,27380,27580
2018-01-18 00:00:00,27500,22990
2018-01-19 00:00:00,27250,27470
2018-01-20 00:00:00,26790,27130
2018-01-21 00:00:00,27020,27320
2018-01-22 00:00:00,27350,27560
2018-01-23 00:00:00,27400,27540
2018-01-24 00:00:00,27360,26440
2018-01-25 00:00:00,27530,27750
2018-01-26 00:00:00,27690,27890
2018-01-27 00:00:00,26180,26520
2018-01-28 00:00:00,25500,26540
2018-01-29 00:00:00,27050,27300
2018-01-30 00:00:00,27490,27680
2018-01-31 00:00:00,27460,27670
2018-02-01 00:00:00,27400,26420
2018-02-02 00:00:00,27290,27560
2018-02-03 00:00:00,26380,26010
2018-02-04 00:00:00,25910,26340
2018-02-05 00:00:00,26870,27140
2018-02-06 00:00:00,27520,27710
