Date,E Block
2017-10-29 00:00:00,2942
2017-10-30 00:00:00,3302
2017-10-31 00:00:00,3575
2017-11-01 00:00:00,3554
2017-11-02 00:00:00,3578
2017-11-03 00:00:00,3326
2017-11-04 00:00:00,2899
2017-11-05 00:00:00,3005
2017-11-06 00:00:00,3537
2017-11-07 00:00:00,3590
2017-11-08 00:00:00,3640
2017-11-09 00:00:00,3634
2017-11-10 00:00:00,3408
2017-11-11 00:00:00,2988
2017-11-12 00:00:00,3038
2017-11-13 00:00:00,2651
2017-11-14 00:00:00,3573
2017-11-15 00:00:00,3531
2017-11-16 00:00:00,3625
2017-11-17 00:00:00,3452
2017-11-18 00:00:00,3024
2017-11-19 00:00:00,3007
2017-11-20 00:00:00,3462
2017-11-21 00:00:00,3507
2017-11-22 00:00:00,3521
2017-11-23 00:00:00,3588
2017-11-24 00:00:00,3440
2017-11-25 00:00:00,3041
2017-11-26 00:00:00,3006
2017-11-27 00:00:00,3594
2017-11-28 00:00:00,3634
2017-11-29 00:00:00,3575
2017-11-30 00:00:00,3655
2017-12-01 00:00:00,3596
2017-12-02 00:00:00,2962
2017-12-03 00:00:00,3031
2017-12-04 00:00:00,3582
2017-12-05 00:00:00,3730
2017-12-06 00:00:00,3737
2017-12-07 00:00:00,3771
2017-12-08 00:00:00,3745
2017-12-09 00:00:00,3159
2017-12-10 00:00:00,3254
2017-12-11 00:00:00,3861
2017-12-12 00:00:00,3797
2017-12-13 00:00:00,3998
2017-12-14 00:00:00,3967
2017-12-15 00:00:00,3833
2017-12-16 00:00:00,3369
2017-12-17 00:00:00,3277
2017-12-18 00:00:00,3797
2017-12-19 00:00:00,3836
2017-12-20 00:00:00,3833
2017-12-21 00:00:00,3703
2017-12-22 00:00:00,3584
2017-12-23 00:00:00,2890
2017-12-24 00:00:00,2840
2017-12-25 00:00:00,2758
2017-12-26 00:00:00,2881
2017-12-27 00:00:00,3111
2017-12-28 00:00:00,3293
2017-12-29 00:00:00,3347
2017-12-30 00:00:00,2970
2017-12-31 00:00:00,2946
2018-01-01 00:00:00,2992
2018-01-02 00:00:00,3805
2018-01-03 00:00:00,3952
2018-01-04 00:00:00,3994
2018-01-05 00:00:00,3887
2018-01-06 00:00:00,3324
2018-01-07 00:00:00,3382
2018-01-08 00:00:00,3924
2018-01-09 00:00:00,4001
2018-01-10 00:00:00,3896
2018-01-11 00:00:00,4039
2018-01-12 00:00:00,3786
2018-01-13 00:00:00,3205
2018-01-14 00:00:00,3193
2018-01-15 00:00:00,3817
2018-01-16 00:00:00,4031
2018-01-17 00:00:00,3894
2018-01-18 00:00:00,4007
2018-01-19 00:00:00,3936
2018-01-20 00:00:00,3397
2018-01-21 00:00:00,3364
2018-01-22 00:00:00,4001
2018-01-23 00:00:00,4139
2018-01-24 00:00:00,4064
2018-01-25 00:00:00,4126
2018-01-26 00:00:00,3976
2018-01-27 00:00:00,3172
2018-01-28 00:00:00,3173
2018-01-29 00:00:00,3792
2018-01-30 00:00:00,3813
2018-01-31 00:00:00,3735
2018-02-01 00:00:00,3901
2018-02-02 00:00:00,3766
2018-02-03 00:00:00,3259
2018-02-04 00:00:00,3205
2018-02-05 00:00:00,3726
2018-02-06 00:00:00,4060
2018-02-07 00:00:00,4185
2018-02-08 00:00:00,4127
2018-02-09 00:00:00,3947
2018-02-10 00:00:00,3300
2018-02-11 00:00:00,3268
2018-02-12 00:00:00,3891
2018-02-13 00:00:00,4002
2018-02-14 00:00:00,3976
2018-02-15 00:00:00,4180
2018-02-16 00:00:00,3910
2018-02-17 00:00:00,3282
2018-02-18 00:00:00,3116
2018-02-19 00:00:00,3936
2018-02-20 00:00:00,4184
2018-02-21 00:00:00,4140
2018-02-22 00:00:00,4034
2018-02-23 00:00:00,3812
2018-02-24 00:00:00,3456
2018-02-25 00:00:00,3361
2018-02-26 00:00:00,3908
2018-02-27 00:00:00,3943
2018-02-28 00:00:00,3646
2018-03-01 00:00:00,3423
2018-03-02 00:00:00,3630
2018-03-03 00:00:00,3069
2018-03-04 00:00:00,3007
2018-03-05 00:00:00,3721
2018-03-06 00:00:00,3772
2018-03-07 00:00:00,3872
2018-03-08 00:00:00,4001
2018-03-09 00:00:00,4045
2018-03-10 00:00:00,3395
2018-03-11 00:00:00,3349
2018-03-12 00:00:00,3970
2018-03-13 00:00:00,4079
2018-03-14 00:00:00,1363
2018-03-19 00:00:00,2256
2018-03-20 00:00:00,4113
2018-03-21 00:00:00,4115
2018-03-22 00:00:00,4006
2018-03-23 00:00:00,3926
2018-03-24 00:00:00,3345
2018-03-25 00:00:00,3299
2018-03-26 00:00:00,4072
2018-03-27 00:00:00,4021
2018-03-28 00:00:00,4052
2018-03-29 00:00:00,4007
2018-03-30 00:00:00,3343
2018-03-31 00:00:00,3283
2018-04-01 00:00:00,3382
2018-04-02 00:00:00,3334
2018-04-03 00:00:00,4076
2018-04-04 00:00:00,4104
2018-04-05 00:00:00,4099
2018-04-06 00:00:00,4082
2018-04-07 00:00:00,3368
2018-04-08 00:00:00,3035
2018-04-09 00:00:00,3713
2018-04-10 00:00:00,3925
2018-04-11 00:00:00,4052
2018-04-12 00:00:00,4116
2018-04-13 00:00:00,4030
2018-04-14 00:00:00,3435
2018-04-15 00:00:00,3352
2018-04-16 00:00:00,4004
2018-04-17 00:00:00,4099
2018-04-18 00:00:00,4043
2018-04-19 00:00:00,4113
2018-04-20 00:00:00,3903
2018-04-21 00:00:00,3142
2018-04-22 00:00:00,2986
2018-04-23 00:00:00,3578
2018-04-24 00:00:00,3654
2018-04-25 00:00:00,3599
2018-04-26 00:00:00,3605
2018-04-27 00:00:00,3392
