Date,Main Site Water Meter
2017-11-10 00:00:00,146.4
2017-11-11 00:00:00,64.72
2017-11-12 00:00:00,67.2
2017-11-13 00:00:00,155.76
2017-11-14 00:00:00,221.04
2017-11-15 00:00:00,256.64
2017-11-16 00:00:00,245.6
2017-11-17 00:00:00,149.8
2017-11-18 00:00:00,77.28
2017-11-19 00:00:00,75.08
2017-11-20 00:00:00,148.72
2017-11-21 00:00:00,170.64
2017-11-22 00:00:00,159.56
2017-11-23 00:00:00,176.56
2017-11-24 00:00:00,157.8
2017-11-25 00:00:00,88.12
2017-11-26 00:00:00,68.52
2017-11-27 00:00:00,173.52
2017-11-28 00:00:00,177.96
2017-11-29 00:00:00,168.6
2017-11-30 00:00:00,179.52
2017-12-01 00:00:00,162.4
2017-12-02 00:00:00,79.28
2017-12-03 00:00:00,113.44
2017-12-04 00:00:00,153.92
2017-12-05 00:00:00,160.28
2017-12-06 00:00:00,179.36
2017-12-07 00:00:00,189.88
2017-12-08 00:00:00,154.56
2017-12-09 00:00:00,89.92
2017-12-10 00:00:00,100.2
2017-12-11 00:00:00,217.36
2017-12-12 00:00:00,188
2017-12-13 00:00:00,200.36
2017-12-14 00:00:00,235.52
2017-12-15 00:00:00,199.68
2017-12-16 00:00:00,96.96
2017-12-17 00:00:00,96.48
2017-12-18 00:00:00,179.68
2017-12-19 00:00:00,196.4
2017-12-20 00:00:00,183.36
2017-12-21 00:00:00,147.76
2017-12-22 00:00:00,114.8
2017-12-23 00:00:00,57.32
2017-12-24 00:00:00,61.04
2017-12-25 00:00:00,56
2017-12-26 00:00:00,60.64
2017-12-27 00:00:00,102.28
2017-12-28 00:00:00,79.76
2017-12-29 00:00:00,93.44
2017-12-30 00:00:00,79.6
2017-12-31 00:00:00,94.12
2018-01-01 00:00:00,68.68
2018-01-02 00:00:00,163.04
2018-01-03 00:00:00,173.56
2018-01-04 00:00:00,174.96
2018-01-05 00:00:00,160.72
2018-01-06 00:00:00,87.92
2018-01-07 00:00:00,100.64
2018-01-08 00:00:00,186.72
2018-01-09 00:00:00,214.32
2018-01-10 00:00:00,181.6
2018-01-11 00:00:00,214.8
2018-01-12 00:00:00,193.88
2018-01-13 00:00:00,89.72
2018-01-14 00:00:00,94.44
2018-01-15 00:00:00,177.4
2018-01-16 00:00:00,187.2
2018-01-17 00:00:00,212.28
2018-01-18 00:00:00,215.28
2018-01-19 00:00:00,202.84
2018-01-20 00:00:00,110.44
2018-01-21 00:00:00,105.16
2018-01-22 00:00:00,164.52
2018-01-23 00:00:00,156.96
2018-01-24 00:00:00,144.16
2018-01-25 00:00:00,161.64
2018-01-26 00:00:00,142.44
2018-01-27 00:00:00,87.48
2018-01-28 00:00:00,98.4
2018-01-29 00:00:00,140.88
2018-01-30 00:00:00,152.92
2018-01-31 00:00:00,140.52
2018-02-01 00:00:00,167.6
2018-02-02 00:00:00,126.04
2018-02-03 00:00:00,85.6
2018-02-04 00:00:00,83.04
2018-02-05 00:00:00,126.52
2018-02-06 00:00:00,144.08
2018-02-07 00:00:00,146.6
2018-02-08 00:00:00,137.72
2018-02-09 00:00:00,119.12
2018-02-10 00:00:00,69
2018-02-11 00:00:00,80.76
2018-02-12 00:00:00,127.24
2018-02-13 00:00:00,133.24
2018-02-14 00:00:00,133.76
2018-02-15 00:00:00,125.16
2018-02-16 00:00:00,129.88
2018-02-17 00:00:00,67.28
2018-02-18 00:00:00,65.4
2018-02-19 00:00:00,147.8
2018-02-20 00:00:00,146.08
2018-02-21 00:00:00,147.96
2018-02-22 00:00:00,163.12
2018-02-23 00:00:00,134.48
2018-02-24 00:00:00,74.92
2018-02-25 00:00:00,89
2018-02-26 00:00:00,163.6
2018-02-27 00:00:00,190.64
2018-02-28 00:00:00,182
2018-03-01 00:00:00,181.36
2018-03-02 00:00:00,161.76
2018-03-03 00:00:00,76.56
2018-03-04 00:00:00,85.92
2018-03-05 00:00:00,187.84
2018-03-06 00:00:00,206.44
2018-03-07 00:00:00,171.88
2018-03-08 00:00:00,194.72
2018-03-09 00:00:00,157.68
2018-03-10 00:00:00,71.56
2018-03-11 00:00:00,76.92
2018-03-12 00:00:00,166.6
2018-03-13 00:00:00,167.2
2018-03-14 00:00:00,43.2
2018-03-19 00:00:00,111.64
2018-03-20 00:00:00,195.04
2018-03-21 00:00:00,195.88
2018-03-22 00:00:00,176.16
2018-03-23 00:00:00,137.4
