Date,DC8 C Block Basement,DC97 C Block Canteen,C Block T15 DC124,C Block T5 DC22A,C Block T6 DC22B,C Block T16 DC150
2017-06-22 00:00:00,2014,905,10530,7703,5028,7570
2017-06-23 00:00:00,1953,881,10100,7321,5088,7599
2017-06-24 00:00:00,1756,460,8960,5973,3966,7145
2017-06-25 00:00:00,1762,461,8696,6041,3869,7170
2017-06-26 00:00:00,1819,882,10320,7473,4984,7756
2017-06-27 00:00:00,1968,926,9530,7716,5724,7474
2017-06-28 00:00:00,1960,931,10160,7598,5303,7261
2017-06-29 00:00:00,2045,906,10420,7641,5780,7535
2017-06-30 00:00:00,1950,866,10050,7372,5009,7285
2017-07-01 00:00:00,1774,448,8750,5806,3809,6559
2017-07-02 00:00:00,1758,432,8740,5682,3825,6668
2017-07-03 00:00:00,1978,916,10100,7699,5580,7626
2017-07-04 00:00:00,1846,907,10040,7701,5616,7535
2017-07-05 00:00:00,1990,927,9890,7716,5708,7856
2017-07-06 00:00:00,2009,926,10210,7710,5836,7801
2017-07-07 00:00:00,1961,883,9860,7413,5558,7382
2017-07-08 00:00:00,1546,455,9410,5748,3728,6980
2017-07-09 00:00:00,1613,485,9290,5922,4145,7129
2017-07-10 00:00:00,1900,888,9840,7339,5386,7738
2017-07-11 00:00:00,1871,903,10110,7331,5668,7767
2017-07-12 00:00:00,1717,904,10000,7549,5498,7590
2017-07-13 00:00:00,1722,932,10310,7499,5768,7575
2017-07-14 00:00:00,1828,894,9780,7211,5500,7554
2017-07-15 00:00:00,1731,227,8810,5646,4112,6786
2017-07-16 00:00:00,1689,1,8870,5698,4203,6881
2017-07-17 00:00:00,1753,990.384847,9970,7607,5555,7855
2017-07-18 00:00:00,1820,990.384847,10340,7821,6127,8000
2017-07-19 00:00:00,1972,990.384847,10140,7725,6365,7385
2017-07-20 00:00:00,1864,990.384847,9820,7635,6000,7585
2017-07-21 00:00:00,1654,990.384847,9670,7250,5461,7481
2017-07-22 00:00:00,1702,990.384847,9310,5769,4064,7088
2017-07-23 00:00:00,1683,990.384847,9310,5772,3951,6868
2017-07-24 00:00:00,1891,990.384847,9740,7475,5585,7619
2017-07-25 00:00:00,1938,990.384847,9750,7626,5844,7863
2017-07-26 00:00:00,733,990.384847,3860,2787,2153,3053
2017-07-31 00:00:00,575,990.384847,3270,2403,1744,2566
2017-08-01 00:00:00,1703,990.384847,10040,7699,5237,7855
2017-08-02 00:00:00,1695,990.384847,10020,7837,5804,7881
2017-08-03 00:00:00,1870,990.384847,9810,7761,5413,7817
2017-08-04 00:00:00,1815,990.384847,9730,7220,5077,7660
2017-08-05 00:00:00,1367,990.384847,9060,5727,3960,6904
2017-08-06 00:00:00,1479,990.384847,9030,5633,3884,6796
2017-08-07 00:00:00,1777,990.384847,9750,7561,5290,7525
2017-08-08 00:00:00,1844,990.384847,9880,7695,5894,7615
2017-08-09 00:00:00,1805,990.384847,9740,7784,6093,7769
2017-08-10 00:00:00,1677,66,9770,7826,5721,7717
2017-08-11 00:00:00,1693,990.384847,9660,7486,4979,7212
2017-08-12 00:00:00,1642,990.384847,8690,6172,4116,7010
2017-08-13 00:00:00,1423,990.384847,8880,6219,3910,7285
2017-08-14 00:00:00,1620,990.384847,9960,7733,5564,7611
2017-08-15 00:00:00,1818,990.384847,10080,7756,6006,7754
2017-08-16 00:00:00,1619,990.384847,9820,7688,5826,7780
2017-08-17 00:00:00,1830,990.384847,9940,7772,5408,7659
2017-08-18 00:00:00,1693,990.384847,9780,7182,4872,7504
2017-08-19 00:00:00,1396,990.384847,8970,5363,3564,7181
2017-08-20 00:00:00,1383,990.384847,9010,5857,3719,7072
2017-08-21 00:00:00,1684,990.384847,9990,7456,5155,7607
2017-08-22 00:00:00,1945,990.384847,10100,7928,5553,7775
2017-08-23 00:00:00,1843,990.384847,10130,7629,5616,7772
2017-08-24 00:00:00,1817,2,9990,7721,5272,7533
2017-08-25 00:00:00,1776,990.384847,9730,7253,4629,7335
2017-08-26 00:00:00,1594,990.384847,8840,4917,3775,6726
2017-08-27 00:00:00,1603,990.384847,8560,4846,3677,6476
2017-08-28 00:00:00,1715,990.384847,9010,5518,3801,6334
2017-08-29 00:00:00,1748,990.384847,9720,7462,4654,7545
2017-08-30 00:00:00,1606,990.384847,9960,7680,4653,7561
2017-08-31 00:00:00,1615,990.384847,10130,7598,4814,7600
2017-09-01 00:00:00,1578,990.384847,10070,7194,4532,7249
2017-09-02 00:00:00,1412,990.384847,9340,5751,3695,6878
2017-09-03 00:00:00,1513,990.384847,9100,5758,3857,6648
2017-09-04 00:00:00,1851,990.384847,9780,7613,5079,7626
2017-09-05 00:00:00,1927,990.384847,9850,7721,5129,7782
2017-09-06 00:00:00,1843,990.384847,9780,7463,5509,7817
2017-09-07 00:00:00,1883,990.384847,10160,7419,5214,7484
2017-09-08 00:00:00,1795,990.384847,9530,7187,4910,7447
2017-09-09 00:00:00,1617,990.384847,8580,5725,3956,6673
2017-09-10 00:00:00,1460,990.384847,8630,5578,3833,6542
