Date,Site Incomer
2018-07-11 00:00:00,40275
2018-07-12 00:00:00,56245
2018-07-13 00:00:00,22775
2018-07-14 00:00:00,12925
2018-07-15 00:00:00,15785
2018-07-16 00:00:00,27130
2018-07-17 00:00:00,25915
2018-07-18 00:00:00,26040
2018-07-19 00:00:00,30245
2018-07-20 00:00:00,17650
2018-07-21 00:00:00,8600
2018-07-22 00:00:00,16295
2018-07-23 00:00:00,34645
2018-07-24 00:00:00,34175
2018-07-25 00:00:00,24855
2018-07-26 00:00:00,31700
2018-07-27 00:00:00,31930
2018-07-28 00:00:00,11305
2018-07-29 00:00:00,4975
2018-07-30 00:00:00,16515
2018-07-31 00:00:00,15980
2018-08-01 00:00:00,19700
2018-08-02 00:00:00,26970
2018-08-03 00:00:00,27680
2018-08-04 00:00:00,7095
2018-08-05 00:00:00,8855
2018-08-06 00:00:00,26270
2018-08-07 00:00:00,28275
2018-08-08 00:00:00,23870
2018-08-09 00:00:00,19805
2018-08-10 00:00:00,13645
2018-08-11 00:00:00,5115
2018-08-12 00:00:00,17775
2018-08-13 00:00:00,35415
2018-08-14 00:00:00,24795
2018-08-15 00:00:00,53465
2018-08-16 00:00:00,19520
2018-08-17 00:00:00,15810
2018-08-18 00:00:00,7625
2018-08-19 00:00:00,13670
2018-08-20 00:00:00,28885
2018-08-21 00:00:00,32145
2018-08-22 00:00:00,30305
2018-08-23 00:00:00,19150
2018-08-24 00:00:00,11365
2018-08-25 00:00:00,2145
2018-08-26 00:00:00,2690
2018-08-27 00:00:00,4880
2018-08-28 00:00:00,19995
2018-08-29 00:00:00,19815
2018-08-30 00:00:00,17830
2018-08-31 00:00:00,14240
2018-09-01 00:00:00,5220
2018-09-02 00:00:00,12115
2018-09-03 00:00:00,19880
2018-09-04 00:00:00,19450
2018-09-05 00:00:00,24405
2018-09-06 00:00:00,17465
2018-09-07 00:00:00,12925
2018-09-08 00:00:00,5440
2018-09-09 00:00:00,5095
2018-09-10 00:00:00,17460
2018-09-11 00:00:00,21555
2018-09-12 00:00:00,20300
2018-09-13 00:00:00,26260
2018-09-14 00:00:00,17010
2018-09-15 00:00:00,2885
2018-09-16 00:00:00,4915
2018-09-17 00:00:00,25465
2018-09-18 00:00:00,37230
2018-09-19 00:00:00,20180
2018-09-20 00:00:00,20470
2018-09-21 00:00:00,29185
2018-09-22 00:00:00,27305
2018-09-23 00:00:00,26710
