Date,CHP No1 Gas Meter,CHP No2 Gas Meter
2017-12-07 00:00:00,6645,6666
2017-12-08 00:00:00,6647,6698
2017-12-09 00:00:00,6603,5977
2017-12-10 00:00:00,6650,6694
2017-12-11 00:00:00,6630,6411
2017-12-12 00:00:00,6371,6420
2017-12-13 00:00:00,6658,6696
2017-12-14 00:00:00,6651,6699
2017-12-15 00:00:00,6526,6406
2017-12-16 00:00:00,6643,6698
2017-12-17 00:00:00,4616,6692
2017-12-18 00:00:00,6510,6699
2017-12-19 00:00:00,4942,6716
2017-12-20 00:00:00,6621,6730
2017-12-21 00:00:00,6701,6721
2017-12-22 00:00:00,6604,6630
2017-12-23 00:00:00,5588,5620
2017-12-24 00:00:00,5560,5610
2017-12-25 00:00:00,5569,5606
2017-12-26 00:00:00,5873,5908
2017-12-27 00:00:00,6084,6011
2017-12-28 00:00:00,6279,6317
2017-12-29 00:00:00,6304,5760
2017-12-30 00:00:00,5584,5634
2017-12-31 00:00:00,5477,5538
2018-01-01 00:00:00,5795,5849
2018-01-02 00:00:00,6369,6231
2018-01-03 00:00:00,6162,6465
2018-01-04 00:00:00,6506,6535
2018-01-05 00:00:00,5912,5412
2018-01-06 00:00:00,6234,6273
2018-01-07 00:00:00,6275,6320
2018-01-08 00:00:00,6548,6595
2018-01-09 00:00:00,6558,6595
2018-01-10 00:00:00,6346,6314
2018-01-11 00:00:00,6218,6320
2018-01-12 00:00:00,6618,6663
2018-01-13 00:00:00,6401,6216
2018-01-14 00:00:00,6356,6393
2018-01-15 00:00:00,6604,6630
2018-01-16 00:00:00,5475,6316
2018-01-17 00:00:00,6639,6676
2018-01-18 00:00:00,6648,5573
2018-01-19 00:00:00,6609,6641
2018-01-20 00:00:00,6453,6498
2018-01-21 00:00:00,27841,6614
2018-01-22 00:00:00,10902,6693
2018-01-23 00:00:00,6677,6697
2018-01-24 00:00:00,6610,6390
2018-01-25 00:00:00,6563,6605
2018-01-26 00:00:00,6563,6609
2018-01-27 00:00:00,6308,6378
2018-01-28 00:00:00,6248,6466
2018-01-29 00:00:00,6602,6630
2018-01-30 00:00:00,6687,6719
2018-01-31 00:00:00,6662,6699
2018-02-01 00:00:00,6624,6652
2018-02-02 00:00:00,6582,6631
2018-02-03 00:00:00,6417,6299
2018-02-04 00:00:00,6292,6342
2018-02-05 00:00:00,6469,6509
2018-02-06 00:00:00,6530,6577
2018-02-07 00:00:00,6531,6583
2018-02-08 00:00:00,6579,6623
2018-02-09 00:00:00,6337,6649
2018-02-10 00:00:00,6075,6116
2018-02-11 00:00:00,5864,5920
2018-02-12 00:00:00,6473,6501
2018-02-13 00:00:00,6640,6555
2018-02-14 00:00:00,6109,6689
2018-02-15 00:00:00,6045.716901,6485
2018-02-16 00:00:00,6045.716901,6447
2018-02-17 00:00:00,6045.716901,6432
2018-02-18 00:00:00,6045.716901,6422
2018-02-19 00:00:00,6045.716901,6643
2018-02-20 00:00:00,6045.716901,6704
2018-02-21 00:00:00,6045.716901,6715
2018-02-22 00:00:00,6045.716901,6733
2018-02-23 00:00:00,6045.716901,6747
2018-02-24 00:00:00,6045.716901,6635
2018-02-25 00:00:00,6045.716901,6593
2018-02-26 00:00:00,6045.716901,6695
2018-02-27 00:00:00,6045.716901,6522
2018-02-28 00:00:00,6045.716901,4
2018-03-01 00:00:00,6045.716901,6081.302839
2018-03-02 00:00:00,6045.716901,2683
2018-03-03 00:00:00,6045.716901,6360
2018-03-04 00:00:00,6045.716901,5023
2018-03-05 00:00:00,6045.716901,6349
2018-03-06 00:00:00,6045.716901,6623
2018-03-07 00:00:00,6045.716901,6601
2018-03-08 00:00:00,6045.716901,6579
2018-03-09 00:00:00,6045.716901,6642
2018-03-10 00:00:00,6045.716901,6530
2018-03-11 00:00:00,6045.716901,6506
2018-03-12 00:00:00,3,6604
2018-03-13 00:00:00,6045.716901,6636
2018-03-14 00:00:00,6045.716901,2499
2018-03-19 00:00:00,6045.716901,3643
2018-03-20 00:00:00,6045.716901,6314
2018-03-21 00:00:00,6,5183
2018-03-22 00:00:00,5,6514
2018-03-23 00:00:00,24,6317
2018-03-24 00:00:00,6045.716901,6520
2018-03-25 00:00:00,6045.716901,6249
2018-03-26 00:00:00,6045.716901,6430
2018-03-27 00:00:00,6045.716901,6675
2018-03-28 00:00:00,6045.716901,6624
2018-03-29 00:00:00,6045.716901,6405
2018-03-30 00:00:00,6045.716901,5460
2018-03-31 00:00:00,6045.716901,5043
2018-04-01 00:00:00,6045.716901,5233
2018-04-02 00:00:00,6045.716901,5837
2018-04-03 00:00:00,6045.716901,6594
2018-04-04 00:00:00,6045.716901,6590
2018-04-05 00:00:00,11,6455
2018-04-06 00:00:00,6045.716901,6456
2018-04-07 00:00:00,6045.716901,6566
2018-04-08 00:00:00,6045.716901,6443
2018-04-09 00:00:00,6045.716901,5841
2018-04-10 00:00:00,2698,6342
2018-04-11 00:00:00,32207,6628
2018-04-12 00:00:00,31247,6070
2018-04-13 00:00:00,32599,6379
2018-04-14 00:00:00,32726,5895
2018-04-15 00:00:00,22309,5318
2018-04-16 00:00:00,6045.716901,5833
2018-04-17 00:00:00,6045.716901,4463
